$VISION
* File: C:\Users\gdt5762\Documents\MyFirstSim.inpx
* Comment: 
* Date: 5/2/2021 12:40:21 PM
* PTV Vissim: 2020.00 [13]
* 
* Table: Vehicles In Network
* 
* SIMSEC: SimSec, Simulation second (Simulation time [s]) [s]
* NO: No, Number (Unique vehicle number)
* COORDFRONTX: CoordFrontX, Coordinate front (x) (X-coordinate of vechicle’s front end)
* COORDFRONTY: CoordFrontY, Coordinate front (y) (Y-coordinate of vechicle’s front end)
* COORDFRONTZ: CoordFrontZ, Coordinate front (z) (Z-coordinate of vechicle’s front end) [m]
* SPEED: Speed, Speed (Speed at the end of the time step) [km/h]
* ORIENTATIONANGLE: OrientationAngle, Orientation angle
* 
* SimSec;No;CoordFrontX;CoordFrontY;CoordFrontZ;Speed;OrientationAngle
* Simulation second;Number;Coordinate front (x);Coordinate front (y);Coordinate front (z);Speed;Orientation angle
*
$VEHICLE:SIMSEC;NO;COORDFRONTX;COORDFRONTY;COORDFRONTZ;SPEED;ORIENTATIONANGLE
4.50;2;101.651;250.244;0.000;51.05;246.13
4.50;3;197.340;134.968;0.000;54.84;181.07
4.50;4;108.834;266.477;0.000;51.29;246.13
4.50;5;-104.661;122.918;0.000;53.91;0.25
4.60;1;-43.920;123.180;0.000;58.64;0.25
4.60;2;101.077;248.947;0.000;51.05;246.13
4.60;3;195.817;134.939;0.000;54.85;181.07
4.60;4;108.258;265.174;0.000;51.29;246.13
4.60;5;-103.163;122.925;0.000;53.98;0.25
4.70;1;-42.292;123.187;0.000;58.58;0.25
4.70;2;100.504;247.650;0.000;51.05;246.13
4.70;3;194.293;134.911;0.000;54.86;181.07
4.70;4;107.681;263.872;0.000;51.29;246.13
4.70;5;-101.663;122.931;0.000;54.04;0.25
4.80;1;-40.666;123.194;0.000;58.51;0.25
4.80;2;99.930;246.353;0.000;51.05;246.13
4.80;3;192.769;134.882;0.000;54.88;181.07
4.80;4;107.105;262.569;0.000;51.29;246.13
4.80;5;-100.161;122.938;0.000;54.10;0.25
4.90;1;-39.042;123.201;0.000;58.45;0.25
4.90;2;99.356;245.057;0.000;51.05;246.13
4.90;3;191.245;134.854;0.000;54.89;181.07
4.90;4;106.528;261.266;0.000;51.29;246.13
4.90;5;-98.657;122.944;0.000;54.16;0.25
5.00;1;-37.419;123.208;0.000;58.38;0.25
5.00;2;98.782;243.760;0.000;51.05;246.13
5.00;3;189.720;134.825;0.000;54.91;181.07
5.00;4;105.952;259.963;0.000;51.29;246.13
5.00;5;-97.152;122.951;0.000;54.23;0.25
5.10;1;-35.798;123.215;0.000;58.32;0.25
