File,Truth,Mean,Max,Peak,Peak to Peak,RMS,Variance,Standard Deviation,Power,Crest Factor,Pulse Indicator,Margin,Kurtosis,Skewness,Zero Crossings,Samples,Mean of Band Power Spectrum,Max of Band Power Spectrum,Sum of Total Band Power,Peak of Band Power,Variance of Band Power,Standard Deviation of Band Power,Skewness of Band Power,Kurtosis of Band Power,Relative Spectral Peak per Band
2024-07-25_12:52:28_0,Avent_SCD560,0.003120925975963,0.221245229244232,0.281761884689331,0.503007113933563,0.079744458198547,0.006349438801408,0.079683363437653,0.006359179038554,3.53330993652344,90.2815017700195,5.2892464175355,0.174214562941642,-0.081725909101904,555,520,0.006359179038554,0.048718240112066,6.86791324615479,0.048718240112066,4.85907075926662E-05,0.006970703601837,2.31173603548743,7.21878943892917,7.6610894203186
2024-07-25_12:52:28_1,Avent_SCD560,0.001929434482008,0.264078408479691,0.264078408479691,0.505713164806366,0.069083102047443,0.004768751561642,0.069056145846844,0.004772474523634,3.82261943817139,136.868301391602,5.8124171692221,0.508441459863388,0.047243868703225,658,550,0.004772474523634,0.0623485930264,5.36903381347656,0.0623485930264,5.75474186916836E-05,0.007586001418531,3.47153619772321,15.5006879744476,13.0642061233521
2024-07-25_12:52:28_2,Avent_SCD560,0.001044998993166,0.156500637531281,0.185788437724113,0.342289090156555,0.042736545205116,0.001825320417993,0.042723767459393,0.001826412393712,4.34729671478272,177.788146972656,6.81345395782635,0.72661782828642,-0.044169846132773,618,500,0.001826412510127,0.023884113878012,1.8264125585556,0.023884113878012,1.07763517007697E-05,0.003282735357061,3.81111728506358,16.8030303332129,13.0770645141602
2024-07-25_12:52:28_3,Avent_SCD560,0.00065678707324,0.308424115180969,0.336476415395737,0.644900560379028,0.086957946419716,0.007561252452433,0.086955465376377,0.007561684120446,3.86941528320312,512.306701660156,7.01234648206705,0.682033324666867,-0.036460275291445,664,510,0.007561683654785,0.190501913428307,7.7431640625,0.190501913428307,0.000281863089185,0.016788778826594,4.6656161605078,33.0656014733482,25.1930561065674
2024-07-25_12:52:28_4,Avent_SCD560,0.000329034868628,0.102648101747036,0.102648101747036,0.191803798079491,0.023827027529478,0.000567618990317,0.023824755102396,0.000567727198359,4.3080530166626,311.967254638672,7.19584152903594,1.09700542395746,-0.004998418815723,612,500,0.000567727314774,0.010321096517146,0.567727327346802,0.010321096517146,1.63015522502974E-06,0.001276775379665,4.48115832579462,24.3711950076206,18.1796722412109
2024-07-25_12:52:28_5,Clapper_Plus,2.03898889594711E-06,0.205686688423157,0.205686688423157,0.407588720321655,0.079428769648075,0.006308929529041,0.079428769648075,0.006308929529041,2.58957409858704,100876.8046875,15.3552914592666,1.61378426531702,0.000527812172913,37143,47200,0.006308930060368,12.4995550847458,605.657285795324,12.4995550847458,0.022640345486348,0.150467091041026,44.3565967638707,2508.83186757617,1981.24800324966
2024-07-25_12:52:28_6,Clapper_Plus,0.00034792572842,0.496547877788544,0.496547877788544,0.987703800201416,0.129734367132187,0.016830887645483,0.12973390519619,0.016831006854773,3.82741975784302,1427.16625976563,6.23330924285985,0.416055660425926,0.001428974794338,34745,39502,0.016831008351765,16.3077217609235,1346.48066814123,16.3077217609235,0.070637648864962,0.26577744235537,38.3421406755941,1775.54085912697,968.909373704458
2024-07-25_12:52:28_7,Clapper_Plus,5.88005968893413E-05,0.234063252806663,0.234063252806663,0.458865523338318,0.065430365502834,0.004281129688025,0.065430343151093,0.004281132947654,3.57728791236877,3980.62719726562,7.36284540172645,1.26991688339256,-0.005690081900942,43121,47000,0.004281133407349,7.20262367021277,410.988807105516,7.20262367021277,0.00867092476021,0.093117800447661,44.8032089474154,2496.4583529888,1682.41047051898
2024-07-25_12:52:28_8,Clapper_Plus,0.000123519464978,0.179161101579666,0.179161101579666,0.352345198392868,0.049459610134363,0.002446237485856,0.049459453672171,0.002446253085509,3.62237191200256,1450.46862792969,6.47835638840607,0.741112196696822,-0.000848654567664,37872,42500,0.002446252884381,3.26262095588235,211.356249210518,3.26262095588235,0.001986463205404,0.044569756622667,39.8160218483628,2002.16853074328,1333.72186363632
2024-07-25_12:52:28_9,Clapper_Plus,0.000295532605378,0.359279155731201,0.359279155731201,0.707101702690125,0.080557212233543,0.006489377468824,0.080556675791741,0.006489464547485,4.45992517471314,1215.70056152344,6.87356850271529,0.292424550445418,0.008296772653345,37125,41050,0.006489464468232,9.45723736297199,538.262140853036,9.45723736297199,0.00746842943583,0.086420075421339,56.9259485769959,4595.25203205707,1457.32169569125
2024-07-25_12:52:28_10,CW_Morse_Code,0.000243210422923,0.763646245002747,0.763646245002747,1.4867707490921,0.348646610975265,0.121554419398308,0.348646551370621,0.12155444920063,2.19031596183777,3139.85815429687,3.15385081067367,-1.11900569362629,0.000244377866647,173462,190000,0.121554466320314,8986.78972631579,46676.9150670006,8986.78972631579,804.917307951177,28.3710646249163,292.257041102389,88222.6126535367,73932.2050300831
2024-07-25_12:52:28_11,CW_Morse_Code,0.00020703554037,0.696840405464172,0.696840405464172,1.36392450332642,0.3117835521698,0.09720890969038,0.31178343296051,0.097208976745606,2.23501324653625,3365.80078125,3.12636304146972,-1.15985309923312,-0.000272636362971,465687,540000,0.097208972199235,10890.4059259259,104985.689975174,10890.4059259259,545.327537528069,23.3522490892862,333.668574517741,126464.0926995,112030.872043431
