File,Mean,Max,Peak,Peak to Peak,RMS,Variance,Standard Deviation,Power,Crest Factor,Pulse Indicator,Margin,Kurtosis,Skewness,Zero Crossings,Samples,Mean of Band Power Spectrum,Max of Band Power Spectrum,Sum of Total Band Power,Peak of Band Power,Variance of Band Power,Standard Deviation of Band Power,Skewness of Band Power,Kurtosis of Band Power,Relative Spectral Peak per Band
2024-07-25_12:52:28_0,0.0031209259759634733,0.22124522924423218,0.28176188468933105,0.5030071139335632,0.07974445819854736,0.006349438801407814,0.07968336343765259,0.00635917903855443,3.5333099365234375,90.28150177001953,5.289246417535501,0.17421456294164184,-0.08172590910190432,555,520,0.00635917903855443,0.04871824011206627,6.867913246154785,0.04871824011206627,4.859070759266615e-05,0.006970703601837158,2.311736035487432,7.218789438929166,7.6610894203186035
2024-07-25_12:52:28_1,0.0019294344820082188,0.26407840847969055,0.26407840847969055,0.505713164806366,0.06908310204744339,0.004768751561641693,0.06905614584684372,0.0047724745236337185,3.8226194381713867,136.86830139160156,5.812417169222096,0.5084414598633882,0.047243868703224924,658,550,0.0047724745236337185,0.06234859302639961,5.3690338134765625,0.06234859302639961,5.754741869168356e-05,0.007586001418530941,3.471536197723215,15.500687974447558,13.06420612335205
2024-07-25_12:52:28_10,0.0002432104229228571,0.7636462450027466,0.7636462450027466,1.486770749092102,0.3486466109752655,0.1215544193983078,0.3486465513706207,0.12155444920063019,2.1903159618377686,3139.858154296875,3.1538508106736702,-1.1190056936262927,0.0002443778666469496,173462,190000,0.12155446632031404,8986.78972631579,46676.91506700059,8986.78972631579,804.9173079511771,28.3710646249163,292.2570411023893,88222.61265353668,73932.20503008312
2024-07-25_12:52:28_100,0.00020985781156923622,0.7024882435798645,0.7024882435798645,1.3638465404510498,0.213873028755188,0.04574164003133774,0.21387295424938202,0.045741673558950424,3.284604072570801,3347.44873046875,4.522265130480997,-1.0876491368127432,0.0007533774346462651,441994,632400,0.04574167815877433,4406.736799493991,57891.81141969876,4406.736799493991,58.036817833599294,7.618189931578189,468.6709970794354,243436.35756128654,96339.63984001045
2024-07-25_12:52:28_101,0.00024352342006750405,0.6752952337265015,0.7059699296951294,1.3812651634216309,0.19964128732681274,0.03985657915472984,0.1996411234140396,0.03985664248466492,3.536191940307617,2898.981689453125,5.049812828803476,-0.8984322588317806,-0.0007483911912377032,424937,588400,0.03985664873524089,2127.0260774983003,47016.81596722945,2127.0260774983003,21.019578242351134,4.584711358673644,359.0568727479862,146236.40562381226,53366.90727882505
2024-07-25_12:52:28_102,0.0001217828830704093,0.6452527046203613,0.678820013999939,1.3240727186203003,0.21840731799602509,0.047701723873615265,0.21840724349021912,0.04770175367593765,3.108046054840088,5574.01806640625,4.273907478957672,-1.22124265135382,-0.00024165763848125113,432423,621300,0.04770174369230815,4787.902938998874,59348.60143222211,4787.902938998874,69.72081162746989,8.349898899236438,467.843644698155,241576.9977726684,100371.65454333102
2024-07-25_12:52:28_103,2.7673708245856687e-05,0.9060857892036438,0.9060857892036438,1.7943918704986572,0.29760947823524475,0.08857139199972153,0.29760944843292236,0.08857139945030212,3.044546127319336,32741.755859375,4.434634353920113,-1.245893950716007,-1.730254709833163e-05,500023,709400,0.0885714032263545,12712.726157316041,127542.82064595047,12712.726157316041,364.0231300941034,19.079390191882535,518.6795778670678,307397.66486625344,143530.82026743094
2024-07-25_12:52:28_104,2.753790067799855e-05,0.2787521481513977,0.2787521481513977,0.5540693998336792,0.09028629213571548,0.008151612244546413,0.09028627723455429,0.008151614107191563,3.0874249935150146,10122.4912109375,4.213064300833973,-1.290892550470939,1.433092657311592e-05,503468,736900,0.008151615705049997,1180.3811209119283,12020.046454038524,1180.3811209119283,3.54435612588853,1.882646043707773,523.7570783617783,297124.8882045005,144803.33269153893
2024-07-25_12:52:28_105,0.00014661421300843358,0.7290877103805542,0.7290877103805542,1.4420301914215088,0.4044092297554016,0.1635468602180481,0.404409259557724,0.1635468304157257,1.8028463125228882,4972.8310546875,2.421479721499843,-1.3342579443163538,-3.674116065296149e-05,1506319,2100000,0.1635467953638422,78687.3353752381,689963.0429412093,78687.3353752381,4996.8388976404185,70.68832221548634,868.0386643451778,863511.8835835496,481130.4018533812
2024-07-25_12:52:28_106,6.754197966074571e-05,0.7540935277938843,0.7921015620231628,1.5461950302124023,0.46868786215782166,0.21966828405857086,0.46868783235549927,0.21966829895973206,1.6900407075881958,11727.5439453125,2.2281913437808987,-1.3906200072659334,-1.2876368034210441e-05,1173622,1668300,0.21966834416775333,70996.35125576935,737916.9311153303,70996.35125576935,5164.2360555720325,71.86261932028384,700.7748195614341,610359.8829794246,323197.9169540779
2024-07-25_12:52:28_107,0.0003230208531022072,0.8823810815811157,0.8823810815811157,1.718752384185791,0.38835611939430237,0.15082035958766937,0.38835597038269043,0.15082047879695892,2.272092580795288,2731.653564453125,2.9665508595797356,-1.281709468984404,0.00023974998045804845,1105816,1603000,0.1508205098107421,31206.948731129134,488658.4517868044,31206.948731129134,1712.4258891829472,41.381467943790334,511.7529113991665,305788.9803696143,206914.4890856644
2024-07-25_12:52:28_108,0.0001873006985988468,0.7458540797233582,0.7458540797233582,1.4655365943908691,0.3861854672431946,0.1491391509771347,0.3861853778362274,0.14913922548294067,1.931336522102356,3982.12109375,2.5769208443641283,-1.3268178096003995,-0.00010406132617718764,1303050,1760000,0.1491391770249083,35339.1616,527795.1956972372,35339.1616,2108.0876263045166,45.91391538852373,575.3963110849063,372571.3710725033,236954.24840716313
2024-07-25_12:52:28_109,-2.4264943476737244e-06,0.9059119820594788,0.9730733036994934,1.8789852857589722,0.5411891937255859,0.2928857207298279,0.5411891937255859,0.2928857207298279,1.7980279922485352,-401020.21875,2.4600155105063037,-1.374437420871892,5.2351239169862996e-06,1073352,1595000,0.2928858422442505,51852.75602257053,937234.6951816017,51852.75602257053,5410.864925094529,73.5585815870217,452.4073909134893,242853.21051695084,177040.8416646108
