(Messages only counted above 12 dB SNR)

DF    Count
0     1395
1     10
2     0
3     2
4     732
5     34
6     1
7     0
8     2
9     6
10    5
11    2335
12    1
13    0
14    1
15    1
16    2
17    582
18    0
19    1
20    61
21    32
22    0
23    1
24    0
25    0
26    1
27    0
28    1
29    0
30    1
31    0
