TC      Count
0       0
1       0
2       0
3       0
4       113
5       0
6       0
7       0
8       0
9       0
10      331
11      402
12      136
13      45
14      0
15      0
16      0   
17      0
18      142
19      1528
20      0
21      0   
22      0
23      0
24      0
25      0
26      0   
27      0
28      7
29      27
30      0   
31      15
